""	"Row"	"GeneID"	"GeneName"	"Score(d)"	"Numerator(r)"	"Denominator(s+s0)"	"FoldChange"	"q-value(%)"	"pvalues"	"fdr_bh"	"sig"
"29600"	NA	NA	NA	NA	NA	NA	NA	NA	0.8075757	0.883243	"Non DEG"
"29601"	NA	NA	NA	NA	NA	NA	NA	NA	0.001284865	0.01077289	"Significant DEG"
"29602"	NA	NA	NA	NA	NA	NA	NA	NA	0.0005029721	0.005486832	"Significant DEG"
"29603"	NA	NA	NA	NA	NA	NA	NA	NA	0.1536351	0.3163723	"Non DEG"
"29604"	NA	NA	NA	NA	NA	NA	NA	NA	0.3917915	0.5767535	"Non DEG"
"29605"	NA	NA	NA	NA	NA	NA	NA	NA	0.0009675354	0.008766987	"Significant DEG"
"29606"	NA	NA	NA	NA	NA	NA	NA	NA	0.5024746	0.673122	"Non DEG"
"29607"	NA	NA	NA	NA	NA	NA	NA	NA	0.3266319	0.5155783	"Non DEG"
"29608"	NA	NA	NA	NA	NA	NA	NA	NA	0.1536351	0.3163723	"Non DEG"
"29609"	NA	NA	NA	NA	NA	NA	NA	NA	0.7608669	0.8553241	"Non DEG"
"29610"	NA	NA	NA	NA	NA	NA	NA	NA	0.9033251	0.9378368	"Non DEG"
"29611"	NA	NA	NA	NA	NA	NA	NA	NA	0.6264701	0.7656872	"Non DEG"
"29612"	NA	NA	NA	NA	NA	NA	NA	NA	0.4269931	0.6086623	"Non DEG"
"29613"	NA	NA	NA	NA	NA	NA	NA	NA	0.04938546	0.1448345	"Significant DEG"
"29614"	NA	NA	NA	NA	NA	NA	NA	NA	0.2969182	0.485481	"Non DEG"
"29615"	NA	NA	NA	NA	NA	NA	NA	NA	0.04938546	0.1448345	"Significant DEG"
"29616"	NA	NA	NA	NA	NA	NA	NA	NA	1.828989e-05	0.0009489529	"Significant DEG"
"29617"	NA	NA	NA	NA	NA	NA	NA	NA	0.07863192	0.2002888	"Non DEG"
"29618"	NA	NA	NA	NA	NA	NA	NA	NA	0.7150892	0.8266206	"Non DEG"
"29619"	NA	NA	NA	NA	NA	NA	NA	NA	0.6264701	0.7656872	"Non DEG"
"29620"	NA	NA	NA	NA	NA	NA	NA	NA	0.0002478281	0.003303267	"Significant DEG"
"29621"	NA	NA	NA	NA	NA	NA	NA	NA	0.8552181	0.9112693	"Non DEG"
"29622"	NA	NA	NA	NA	NA	NA	NA	NA	0.8552181	0.9112693	"Non DEG"
"29623"	NA	NA	NA	NA	NA	NA	NA	NA	0.9515354	0.9626096	"Non DEG"
"29624"	NA	NA	NA	NA	NA	NA	NA	NA	0.01694467	0.06774771	"Significant DEG"
"29625"	NA	NA	NA	NA	NA	NA	NA	NA	0.001284865	0.01077289	"Significant DEG"
"29626"	NA	NA	NA	NA	NA	NA	NA	NA	0.0002478281	0.003303267	"Significant DEG"
"29627"	NA	NA	NA	NA	NA	NA	NA	NA	0.001284865	0.01077289	"Significant DEG"
"29628"	NA	NA	NA	NA	NA	NA	NA	NA	0.5839314	0.7356833	"Non DEG"
"29629"	NA	NA	NA	NA	NA	NA	NA	NA	0.04938546	0.1448345	"Significant DEG"
"29630"	NA	NA	NA	NA	NA	NA	NA	NA	0.5839314	0.7356833	"Non DEG"
"29631"	NA	NA	NA	NA	NA	NA	NA	NA	0.2686502	0.4555547	"Non DEG"
"29632"	NA	NA	NA	NA	NA	NA	NA	NA	0.1358884	0.2911324	"Non DEG"
"29633"	NA	NA	NA	NA	NA	NA	NA	NA	0.07863192	0.2002888	"Non DEG"
"29634"	NA	NA	NA	NA	NA	NA	NA	NA	0.04192684	0.1287982	"Significant DEG"
"29635"	NA	NA	NA	NA	NA	NA	NA	NA	0.3266319	0.5155783	"Non DEG"
"29636"	NA	NA	NA	NA	NA	NA	NA	NA	0.02465295	0.08819603	"Significant DEG"
"29637"	NA	NA	NA	NA	NA	NA	NA	NA	0.4638884	0.6405147	"Non DEG"
"29638"	NA	NA	NA	NA	NA	NA	NA	NA	0.9033251	0.9378368	"Non DEG"
"29639"	NA	NA	NA	NA	NA	NA	NA	NA	0.04192684	0.1287982	"Significant DEG"
"29640"	NA	NA	NA	NA	NA	NA	NA	NA	0.3582606	0.5457304	"Non DEG"
"29641"	NA	NA	NA	NA	NA	NA	NA	NA	0.07863192	0.2002888	"Non DEG"
"29642"	NA	NA	NA	NA	NA	NA	NA	NA	0.9515354	0.9626096	"Non DEG"
"29643"	NA	NA	NA	NA	NA	NA	NA	NA	0.1729959	0.3418094	"Non DEG"
"29644"	NA	NA	NA	NA	NA	NA	NA	NA	0.009238226	0.04396379	"Significant DEG"
"29645"	NA	NA	NA	NA	NA	NA	NA	NA	0.9033251	0.9378368	"Non DEG"
"29646"	NA	NA	NA	NA	NA	NA	NA	NA	0.02959762	0.1002447	"Significant DEG"
"29647"	NA	NA	NA	NA	NA	NA	NA	NA	0.5425953	0.7050503	"Non DEG"
"29648"	NA	NA	NA	NA	NA	NA	NA	NA	0.005940558	0.0319937	"Significant DEG"
"29649"	NA	NA	NA	NA	NA	NA	NA	NA	0.3582606	0.5457304	"Non DEG"
"29650"	NA	NA	NA	NA	NA	NA	NA	NA	0.3266319	0.5155783	"Non DEG"
"29651"	NA	NA	NA	NA	NA	NA	NA	NA	0.8075757	0.883243	"Non DEG"
"29652"	NA	NA	NA	NA	NA	NA	NA	NA	0.01694467	0.06774771	"Significant DEG"
"29653"	NA	NA	NA	NA	NA	NA	NA	NA	0.9515354	0.9626096	"Non DEG"
"29654"	NA	NA	NA	NA	NA	NA	NA	NA	0.1941728	0.3685738	"Non DEG"
"29655"	NA	NA	NA	NA	NA	NA	NA	NA	0.670193	0.7963749	"Non DEG"
"29656"	NA	NA	NA	NA	NA	NA	NA	NA	0.1941728	0.3685738	"Non DEG"
"29657"	NA	NA	NA	NA	NA	NA	NA	NA	0.1358884	0.2911324	"Non DEG"
"29658"	NA	NA	NA	NA	NA	NA	NA	NA	0.8552181	0.9112693	"Non DEG"
"29659"	NA	NA	NA	NA	NA	NA	NA	NA	0.5425953	0.7050503	"Non DEG"
"29660"	NA	NA	NA	NA	NA	NA	NA	NA	0.06765706	0.1802266	"Non DEG"
"29661"	NA	NA	NA	NA	NA	NA	NA	NA	0.7608669	0.8553241	"Non DEG"
"29662"	NA	NA	NA	NA	NA	NA	NA	NA	0.0009675354	0.008766987	"Significant DEG"
"29663"	NA	NA	NA	NA	NA	NA	NA	NA	0.1729959	0.3418094	"Non DEG"
"29664"	NA	NA	NA	NA	NA	NA	NA	NA	0.0005029721	0.005486832	"Significant DEG"
"29665"	NA	NA	NA	NA	NA	NA	NA	NA	0.4269931	0.6086623	"Non DEG"
"29666"	NA	NA	NA	NA	NA	NA	NA	NA	0.02959762	0.1002447	"Significant DEG"
"29667"	NA	NA	NA	NA	NA	NA	NA	NA	0.8552181	0.9112693	"Non DEG"
"29668"	NA	NA	NA	NA	NA	NA	NA	NA	0.02959762	0.1002447	"Significant DEG"
"29669"	NA	NA	NA	NA	NA	NA	NA	NA	0.9033251	0.9378368	"Non DEG"
"29670"	NA	NA	NA	NA	NA	NA	NA	NA	0.4638884	0.6405147	"Non DEG"
"29671"	NA	NA	NA	NA	NA	NA	NA	NA	0.4638884	0.6405147	"Non DEG"
